Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
83,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1
90,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1
227,1,1,2,0,0,6250,1695.0,210.0,360.0,1.0,1
482,1,1,0,0,0,2083,3150.0,128.0,360.0,1.0,1
464,1,0,0,0,0,4166,0.0,98.0,360.0,0.0,1
369,1,1,0,0,0,19730,5266.0,570.0,360.0,1.0,0
79,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1
23,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0
184,0,1,0,0,0,3625,0.0,108.0,360.0,1.0,1
289,1,0,0,0,0,9508,0.0,187.0,360.0,1.0,0
527,1,1,1,1,0,5285,1430.0,161.0,360.0,0.0,1
573,1,1,2,1,0,6125,1625.0,187.0,480.0,1.0,1
428,1,1,0,0,0,2920,16.12000084,87.0,360.0,1.0,0
165,1,1,0,0,0,3707,3166.0,182.0,360.0,1.0,0
411,1,1,0,0,0,6256,0.0,160.0,360.0,1.0,2
525,1,1,2,0,1,17500,0.0,400.0,360.0,1.0,0
9,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1
362,1,1,0,0,0,4750,2333.0,130.0,360.0,1.0,2
488,1,1,2,0,1,4583,2083.0,160.0,360.0,1.0,1
426,0,0,1,1,0,4606,0.0,81.0,360.0,1.0,0
600,0,0,3,0,0,416,41667.0,350.0,180.0,1.0,2
383,1,0,0,0,1,7167,0.0,128.0,360.0,1.0,2
84,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2
265,1,0,0,0,0,4095,3447.0,151.0,360.0,1.0,0
199,1,0,0,0,1,11000,0.0,83.0,360.0,1.0,2
598,1,1,0,0,1,9963,0.0,180.0,360.0,1.0,0
535,1,0,0,1,0,2550,2042.0,126.0,360.0,1.0,0
468,0,1,2,1,0,210,2917.0,98.0,360.0,1.0,1
582,0,1,0,0,0,3166,0.0,36.0,360.0,1.0,1
291,1,1,2,0,0,4400,0.0,127.0,360.0,0.0,1
75,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2
92,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2
304,1,0,0,0,0,4000,2500.0,140.0,360.0,1.0,0
68,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2
15,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2
211,1,1,3,0,0,3430,1250.0,128.0,360.0,0.0,1
268,0,0,0,0,0,3418,0.0,135.0,360.0,1.0,0
88,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2
514,1,0,0,0,0,5815,3666.0,311.0,360.0,1.0,0
117,1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,2
395,1,1,2,0,0,3276,484.0,135.0,360.0,1.0,1
419,1,1,0,0,0,3246,1417.0,138.0,360.0,1.0,1
33,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1
0,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2
607,1,1,2,1,0,3987,1411.0,157.0,360.0,1.0,0
177,1,1,3,0,0,5516,11300.0,495.0,360.0,0.0,1
356,1,1,2,0,0,8333,3167.0,165.0,360.0,1.0,0
399,0,0,0,0,0,1500,1800.0,103.0,360.0,0.0,1
499,1,0,0,0,0,6283,4416.0,209.0,360.0,0.0,0
259,1,1,3,1,0,4931,0.0,128.0,360.0,1.0,1
22,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1
456,1,1,0,0,0,4301,0.0,118.0,360.0,1.0,2
116,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1
89,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1
583,1,1,1,0,0,1880,0.0,61.0,360.0,1.0,0
443,1,0,1,0,0,37719,0.0,152.0,360.0,1.0,1
18,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0
380,1,1,0,0,0,3333,2500.0,128.0,360.0,1.0,1
446,1,1,2,1,0,4652,0.0,110.0,360.0,1.0,0
144,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2
290,1,1,0,0,0,3075,2416.0,139.0,360.0,1.0,0
353,0,1,0,0,1,5500,0.0,105.0,360.0,0.0,0
553,1,1,0,1,0,2454,2333.0,181.0,360.0,0.0,2
601,1,1,0,1,0,2894,2792.0,155.0,360.0,1.0,0
261,1,0,0,0,0,2060,2209.0,134.0,360.0,1.0,1
496,1,1,0,1,0,2600,1700.0,107.0,360.0,1.0,0
529,1,0,0,1,0,6783,0.0,130.0,360.0,1.0,1
414,0,1,0,1,0,2149,3237.0,178.0,360.0,0.0,1
167,1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0
54,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2
249,1,1,0,0,0,1809,1868.0,90.0,360.0,1.0,2
46,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2
93,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1
272,1,0,0,0,0,2833,1857.0,126.0,360.0,1.0,0
108,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2
280,1,0,1,1,1,4053,2426.0,158.0,360.0,0.0,2
195,1,1,1,0,0,3125,2583.0,170.0,360.0,1.0,1
613,0,0,0,0,1,4583,0.0,133.0,360.0,0.0,1
495,0,1,1,0,0,3326,913.0,105.0,84.0,1.0,1
451,1,1,2,1,0,1958,1456.0,60.0,300.0,1.0,2
244,1,1,0,1,0,3406,4417.0,123.0,360.0,1.0,1
393,1,1,2,1,0,1993,1625.0,113.0,180.0,1.0,1
310,0,0,0,0,0,2917,0.0,84.0,360.0,1.0,1
408,1,1,1,0,0,8300,0.0,152.0,300.0,0.0,1
572,1,1,2,0,0,16666,0.0,275.0,360.0,1.0,2
264,1,0,0,0,1,5166,0.0,128.0,360.0,1.0,1
487,1,1,1,0,0,18333,0.0,500.0,360.0,1.0,2
69,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1
547,1,0,0,0,0,2526,1783.0,145.0,360.0,1.0,0
417,1,1,2,0,1,1600,20000.0,239.0,360.0,1.0,2
286,0,0,0,0,1,2600,1717.0,99.0,300.0,1.0,1
537,1,0,2,0,0,3617,0.0,107.0,360.0,1.0,1
